sample_id	Assigned	Unassigned_Ambiguity	Unassigned_NoFeatures	assigned_frac	ambiguity_frac
bima_A_ATAC	20334250	0	8091150	0.715354929042335	0
bima_B_ATAC	27308508	0	10015603	0.73165863213728	0
bima_C_ATAC	29914532	0	13548977	0.688267760433241	0
bima_D_ATAC	23433458	0	10924755	0.682033666884829	0
eofe_A_ATAC	21948798	0	10785396	0.670515913726179	0
eofe_B_ATAC	24246840	0	12085275	0.667366598393735	0
eofe_C_ATAC	27127203	0	12549809	0.683700753474077	0
eofe_D_ATAC	25878514	0	13904540	0.650490884887822	0
eika_B_ATAC	22745079	0	10824088	0.677558635875594	0
eika_A_ATAC	22482628	0	10412687	0.683459878709172	0
ieki_B_ATAC	11398802	0	28099051	0.288592952128309	0
ieki_A_ATAC	13504794	0	32405891	0.294153615873952	0
nusw_B_ATAC	22008479	0	10046184	0.686592119218349	0
nusw_A_ATAC	22920395	0	8593376	0.727313624256519	0
ruyv_B_ATAC	20843059	0	11894641	0.636668397596655	0
ruyv_A_ATAC	24962845	0	12946983	0.658479510906776	0
uimo_B_ATAC	25680896	0	13237103	0.659871952820596	0
uimo_A_ATAC	23144232	0	10593716	0.68599999027801	0
cicb_B_ATAC	15826781	0	10364886	0.604267800136585	0
cicb_A_ATAC	16145955	0	10320695	0.610049061743742	0
cicb_D_ATAC	19880409	0	14190708	0.583497423932418	0
cicb_C_ATAC	19210792	0	16238938	0.541916454652828	0
vass_B_ATAC	16609251	0	20493883	0.447650891161916	0
vass_A_ATAC	17051622	0	10372147	0.621782585756174	0
vass_D_ATAC	22168341	0	16217853	0.577508179112522	0
vass_C_ATAC	23213929	0	15103047	0.605839276043078	0
oefg_B_ATAC	19513733	0	10140217	0.658048354435075	0
oefg_A_ATAC	15760510	0	7929272	0.66528725338207	0
veqz_B_ATAC	16419434	0	10594193	0.607820415970058	0
veqz_A_ATAC	21963345	0	13822111	0.613750597449422	0
pahc_B_ATAC	24599385	0	15766613	0.609408567081631	0
pahc_A_ATAC	18989254	0	13992705	0.575746698369251	0
sukz_B_ATAC	22331382	0	13956158	0.615400823533367	0
sukz_A_ATAC	19375072	0	13220398	0.594409959420742	0
xucm_B_ATAC	20966427	0	8825862	0.703753477955319	0
xucm_A_ATAC	18560499	0	8163301	0.694530680516992	0
joxm_B_ATAC	18879037	0	14283575	0.569286792005407	0
joxm_A_ATAC	16061379	0	15833433	0.503573402470596	0
iisa_A_ATAC	19926177	0	14371991	0.580969135144478	0
iisa_B_ATAC	18060138	0	10164806	0.639864440475064	0
eojr_B_ATAC	18815359	0	21909751	0.462008795065256	0
eojr_A_ATAC	16799419	0	22499753	0.427475138661955	0
hiaf_B_ATAC	16408989	0	7323048	0.691427752282705	0
hiaf_A_ATAC	15366835	0	7589784	0.669385809818075	0
hiaf_D_ATAC	7955004	0	28053259	0.220921625683527	0
hiaf_C_ATAC	9070049	0	28386839	0.242146357700618	0
kuxp_B_ATAC	19925791	0	11218882	0.639781673097033	0
kuxp_A_ATAC	17355170	0	11936818	0.592488635458952	0
kuxp_D_ATAC	12560300	0	15912633	0.441131231545412	0
kuxp_C_ATAC	19556641	0	20095249	0.493208293476049	0
podx_B_ATAC	16931547	0	11007888	0.606008926093173	0
podx_A_ATAC	16825283	0	11072576	0.603103019482606	0
podx_D_ATAC	15191207	0	15090654	0.501660284353065	0
podx_C_ATAC	17614851	0	14711797	0.544901871669466	0
xugn_B_ATAC	18820387	0	10423449	0.643567656445618	0
xugn_A_ATAC	14895662	0	8700907	0.631263892644731	0
xugn_D_ATAC	17627559	0	15260429	0.535987759421464	0
xugn_C_ATAC	15234205	0	10524590	0.591417610955792	0
oapg_B_ATAC	21711338	0	11418529	0.655340330825958	0
oapg_A_ATAC	19307821	0	10482929	0.648114632897795	0
oapg_D_ATAC	13784551	0	14885591	0.480798141843874	0
oapg_C_ATAC	20971312	0	13877703	0.601776319933289	0
pamv_B_ATAC	18031997	0	7079179	0.718086520519788	0
pamv_A_ATAC	12593283	0	6288415	0.666957124301003	0
pamv_D_ATAC	12639569	0	11074001	0.533009960119881	0
pamv_C_ATAC	12327012	0	10862211	0.531583658495155	0
eipl_B_ATAC	11612276	0	12835083	0.47499102050246	0
eipl_A_ATAC	8016775	0	11080413	0.419788243169623	0
eipl_D_ATAC	17037294	0	15533344	0.52308751213286	0
eipl_C_ATAC	14947541	0	19787990	0.430324240616906	0
febc_B_ATAC	17452930	0	15117729	0.535848230764996	0
febc_A_ATAC	8876697	0	10427819	0.459824892786745	0
febc_D_ATAC	31967179	0	41778896	0.433476344334258	0
febc_C_ATAC	14729062	0	14642026	0.501481661149223	0
heja_B_ATAC	10457818	0	17942230	0.368232405804385	0
heja_A_ATAC	9025524	0	15336252	0.370478901045638	0
heja_D_ATAC	17160764	0	14748901	0.537792045137422	0
heja_C_ATAC	19872911	0	14094509	0.585058005582997	0
pelm_B_ATAC	12277663	0	13857796	0.469770322380793	0
pelm_A_ATAC	10126699	0	9800225	0.508191781129892	0
pelm_D_ATAC	12977415	0	14978770	0.464205505865697	0
pelm_C_ATAC	15192586	0	13987946	0.520641158975443	0
